county_name,bush_perc,clinton_perc,state,clinton_win
Autauga,55.92,30.92,AL,FALSE
Baldwin,56.52,26.24,AL,FALSE
Barbour,42.9,46.36,AL,TRUE
Bibb,46.49,43.15,AL,FALSE
Blount,53.81,32.92,AL,FALSE
Bullock,26.02,67.67,AL,TRUE
Butler,41.21,47.43,AL,TRUE
Calhoun,48.18,38.44,AL,FALSE
Chambers,43.4,45.36,AL,TRUE
Cherokee,34.85,53.61,AL,TRUE
Chilton,56.17,34.19,AL,FALSE
Choctaw,40.6,52.13,AL,TRUE
Clarke,46.9,42.87,AL,FALSE
Clay,49.68,36.02,AL,FALSE
Cleburne,46.31,40.94,AL,FALSE
Coffee,48.87,37.19,AL,FALSE
Colbert,35.98,54.4,AL,TRUE
Conecuh,39.05,50.02,AL,TRUE
Coosa,41.12,48.56,AL,TRUE
Covington,48.99,35.84,AL,FALSE
Crenshaw,44.22,45.44,AL,TRUE
Cullman,49.62,35.98,AL,FALSE
Dale,51.45,32.29,AL,FALSE
Dallas,37.72,56.38,AL,TRUE
DeKalb,48.73,38.2,AL,FALSE
Elmore,55.7,30.52,AL,FALSE
Escambia,46.44,37.5,AL,FALSE
Etowah,41.15,48.43,AL,TRUE
Fayette,42.55,45.22,AL,TRUE
Franklin,40.43,50.2,AL,TRUE
Geneva,49.08,36.71,AL,FALSE
Greene,16.49,79.18,AL,TRUE
Hale,33.22,57.8,AL,TRUE
Henry,45.7,43.15,AL,FALSE
Houston,58.33,29.76,AL,FALSE
Jackson,30.19,56.19,AL,TRUE
Jefferson,50.13,42.12,AL,FALSE
Lamar,47.29,41.3,AL,FALSE
Lauderdale,40.67,47.21,AL,TRUE
Lawrence,30.86,54.91,AL,TRUE
Lee,47.58,38.8,AL,FALSE
Limestone,45.66,37.45,AL,FALSE
Lowndes,25.8,67.99,AL,TRUE
Macon,12.94,82.78,AL,TRUE
Madison,47.71,36.14,AL,FALSE
Marengo,39.75,50.09,AL,TRUE
Marion,42.89,46.47,AL,TRUE
Marshall,45.85,39.01,AL,FALSE
Mobile,50.72,38.22,AL,FALSE
Monroe,50.48,39.73,AL,FALSE
Montgomery,47.29,43.34,AL,FALSE
Morgan,47.92,34.31,AL,FALSE
Perry,31.46,63.86,AL,TRUE
Pickens,44.63,46.46,AL,TRUE
Pike,48.45,41.88,AL,FALSE
Randolph,46.77,40.7,AL,FALSE
Russell,35.61,55.12,AL,TRUE
St. Clair,57.56,30.14,AL,FALSE
Shelby,67.97,21.42,AL,FALSE
Sumter,25.72,68.47,AL,TRUE
Talladega,48.21,40.72,AL,FALSE
Tallapoosa,52.67,36.9,AL,FALSE
Tuscaloosa,47.27,40.46,AL,FALSE
Walker,38.26,50.22,AL,TRUE
Washington,40.06,49.57,AL,TRUE
Wilcox,31.5,64.84,AL,TRUE
Winston,55.01,33.85,AL,FALSE
Apache,25.13,61.44,AZ,TRUE
Cochise,36.81,38.31,AZ,TRUE
Coconino,32.31,44.32,AZ,TRUE
Gila,31.29,40.97,AZ,TRUE
Graham,42.98,34.96,AZ,FALSE
Greenlee,36.34,42.45,AZ,TRUE
La Paz,32.23,36.44,AZ,TRUE
Maricopa,41.06,32.56,AZ,FALSE
Mohave,33.69,32.63,AZ,FALSE
Navajo,32.45,44.17,AZ,TRUE
Pima,34.47,45.68,AZ,TRUE
Pinal,31.76,42.1,AZ,TRUE
Santa Cruz,37.43,43.47,AZ,TRUE
Yavapai,39.42,30.75,AZ,FALSE
Yuma,41.55,36.97,AZ,FALSE
Alachua,39.87,49.61,FL,TRUE
Baker,50.59,29.25,FL,FALSE
Bay,49.99,28.12,FL,FALSE
Bradford,44.02,36.46,FL,FALSE
Brevard,43.19,31.19,FL,FALSE
Broward,30.92,51.85,FL,TRUE
Calhoun,37.58,36.36,FL,FALSE
Charlotte,39.17,36.91,FL,FALSE
Citrus,36.68,35.62,FL,FALSE
Clay,57.95,23.33,FL,FALSE
Collier,53.44,26.13,FL,FALSE
Columbia,43.41,36.97,FL,FALSE
DeSoto,41.32,35.62,FL,FALSE
Dixie,32.04,42.42,FL,TRUE
Duval,49.47,36.85,FL,FALSE
Escambia,50.24,30.45,FL,FALSE
Flagler,38.19,40.92,FL,TRUE
Franklin,37.99,35.05,FL,FALSE
Gadsden,27.62,58.96,FL,TRUE
Gilchrist,34.73,37.62,FL,TRUE
Glades,35.12,38.68,FL,TRUE
Gulf,45.29,33.11,FL,FALSE
Hamilton,37.64,43.54,FL,TRUE
Hardee,45.08,31.37,FL,FALSE
Hendry,40.91,33.57,FL,FALSE
Hernando,36.47,39.06,FL,TRUE
Highlands,44.76,34.69,FL,FALSE
Hillsborough,42.07,37.13,FL,FALSE
Holmes,48.96,28.75,FL,FALSE
Indian River,43.54,28.12,FL,FALSE
Jackson,45.82,37.35,FL,FALSE
Jefferson,32.19,48.55,FL,TRUE
Lafayette,41.15,34.34,FL,FALSE
Lake,44.17,33.24,FL,FALSE
Lee,44.24,32.32,FL,FALSE
Leon,32.87,49.12,FL,TRUE
Levy,34.71,39.59,FL,TRUE
Liberty,43.71,31.83,FL,FALSE
Madison,34.38,45.36,FL,TRUE
Manatee,42.63,33.77,FL,FALSE
Marion,40.74,35.44,FL,FALSE
Martin,46.63,27.83,FL,FALSE
Miami-Dade,43.19,46.73,FL,TRUE
Monroe,34.38,36.3,FL,TRUE
Nassau,51.54,30.28,FL,FALSE
Okaloosa,53.13,19.49,FL,FALSE
Okeechobee,35.2,36.48,FL,TRUE
Orange,45.9,34.89,FL,FALSE
Osceola,42.29,33.16,FL,FALSE
Palm Beach,34.63,46.36,FL,TRUE
Pasco,35.11,39.08,FL,TRUE
Pinellas,37.63,37.96,FL,TRUE
